StoneAge historical map.exe capture analysis — R1
SCOPE|Wayback-capture-transient-download+archive-list+map-dat-validation|derived-metadata-only|no-payload-commit
ORIGINAL|http://www.wuxitianlong.com:80/sa/map.exe
CAPTURE|timestamp=20030623234451|status=200|bytes=4223728|sha256=372426e46765a1cf479041bdafc1d3e58fb019117d00d0b43d6a5f796620776e|md5=b357132ca82d012656b9c907acef5d4e|signature=pe-mz|content_type=application/octet-stream|final=https://web.archive.org/web/20030623234451id_/http://www.wuxitianlong.com:80/sa/map.exe
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20305.DAT|size=60008|packed=5708|crc=7EE0DF20|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20401.DAT|size=15008|packed=1840|crc=1E0EEB3F|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20402.DAT|size=15008|packed=1618|crc=EC973C1D|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20403.DAT|size=15008|packed=1625|crc=4FDBB5A1|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20404.DAT|size=15008|packed=1334|crc=9278E785|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20405.DAT|size=15008|packed=1095|crc=4E80B62C|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20406.DAT|size=21008|packed=2738|crc=983F8C4F|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20501.DAT|size=21608|packed=2114|crc=74316640|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20502.DAT|size=21608|packed=2165|crc=68F72C02|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20503.DAT|size=21608|packed=2167|crc=28881199|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20504.DAT|size=21608|packed=2081|crc=670CF55D|method=m5:20
ARCHIVE_MAP_ENTRY|timestamp=20030623234451|path=map/20505.DAT|size=21608|packed=2173|crc=2790A763|method=m5:20
