StoneAge 2.5-family DiscMaster client-signature carrier probe — R1
SCOPE|public-file-index|verified-bridge-filenames|metadata-only|no-indexed-file-payload
BOUNDARY|bridge signatures can locate related client trees but cannot by themselves date or authenticate a carrier as 2002/clean
QUERY|label=adrn15|name=adrn_15.bin|kind=distinctive|status=200|bytes=2|sha256=4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945|exact_rows=0|final=https://discmaster.textfiles.com/search?q=%22adrn_15.bin%22&qfields=name&mode=deep&dedup=dedup&limit=100&outputAs=json&showItemName=showItemName&tsMin=2000&tsMax=2006
HIT|label=startup-exe|kind=supporting|itemid=41777|itemName=Twilight 64 (CD-ROM)|path=TWILIGHT64B.ISO/Apps/041/Setup.exe/DATA1.CAB/TrojanShield_Startup_Manager/Startup.exe|size=118784|ts=2001-08-30|b3sum=d4f1a815dfb884e1f9bf1f324f874bc7e7e3adbcf8d40ec4cf68ec72dee8428e
HIT|label=startup-exe|kind=supporting|itemid=10267|itemName=CICA 32 2000 August (CD-ROM)|path=CICA 32 For Windows CD-ROM (Walnut Creek) (August 2000) (Disc 2).iso/disc2/mmedia/fanplr17.zip/FANPLR17.EXE/Startup.exe|size=395776|ts=2000-06-11|b3sum=151b3c7238d25b936d78a555561aeacd44e2969ff0df3f0e399cdc3900f57b96
HIT|label=startup-exe|kind=supporting|itemid=13656|itemName=Interactive Bible for Kids - The Life of Paul (CD-ROM)|path=Paul.iso/pc/startup.exe|size=1410395|ts=2000-08-17|b3sum=b2c420f38b516c96e49cedfa16ca4ca91d5cfce29ed94cabf6181fe7d410ae41
HIT|label=startup-exe|kind=supporting|itemid=16046|itemName=PC go! 2003 June (CD-ROM)|path=data/PCgo_06_2003_1.7z/PCgo_06_2003_1/T-Online/Software/Virenschutz/Support/Edisk/Disk1.img/startup.exe/startup.exe|size=206942|ts=2002-08-23|b3sum=dda8ff3cc90e7fb3a92b0dcf20b42eefb215484f5cf2b5202272ed14479e65fc
HIT|label=startup-exe|kind=supporting|itemid=30718|itemName=University of Pittsburgh Software Toolkit - Fall 2002 (CD-ROM)|path=Toolkit.iso/pc/Utils/Norton AntiVirus 2002/SUPPORT/EDISK/DISK1.IMG/startup.exe/startup.exe|size=206742|ts=2001-11-27|b3sum=b18a19ef209eb33cf974526ea172736ab1d2f2552082250538c743260647e2f5
HIT|label=startup-exe|kind=supporting|itemid=37008|itemName=Mega Score 66 (CD-ROM)|path=MSCORE_66.BIN/Demos/legocreator.exe/startup.exe|size=28672|ts=2000-08-29|b3sum=49336c072aa9c882f088091b74e4b6c826fd14d71a307bbf1790c1ea2752c645
HIT|label=startup-exe|kind=supporting|itemid=37688|itemName=Mixa 99: Business Icons (CD-ROM)|path=Image/NFC01040.bin/pc/viewer/startup.exe|size=243184|ts=2001-01-01|b3sum=bd49e66834fc992a7c3e94dddfa16baed53b5aa423bf3270a5de63535c9812a0
HIT|label=startup-exe|kind=supporting|itemid=10250|itemName=CICA 1993 December (CD-ROM)|path=CICA_Shareware_for_Windows_CD-ROM_Walnut_Creek_December_1993.iso/simtel/startup1.zip/STARTUP.EXE|size=24552|ts=2000-01-01|b3sum=b8ea3ec471a4427b2814c68b083b988e6e7da305b3d5e89ab50abea05566e512
HIT|label=startup-exe|kind=supporting|itemid=43961|itemName=Computer Active 80 (CD-ROM)|path=CA80.iso/S/nu/Product/Support/EDisk/Disk1.img/STARTUP.EXE|size=117561|ts=2000-08-17|b3sum=8062b236891fcd640a33a64d75473d3bbf84017401ca278bea5dfdbe883e8f4d
HIT|label=startup-exe|kind=supporting|itemid=41384|itemName=Score 2011 September (CD-ROM)|path=Score_2011-09_211_DVD1-1.iso/StartUp.exe|size=252299|ts=2000-01-01|b3sum=dbf11bd467d1a349d8467da7e63c1fca4a5325375d9bfa9abe413be214014f00
HIT|label=startup-exe|kind=supporting|itemid=41384|itemName=Score 2011 September (CD-ROM)|path=Score_2011-09_211_DVD1-1.iso/StartUp.exe/StartUp.exe|size=518027|ts=2000-01-01|b3sum=fc68f4ed1759ef86fb3777d8d665fb658876ebfbb540231ce8e23ab1aaef3ad3
HIT|label=startup-exe|kind=supporting|itemid=20775|itemName=PCGUIA 125 (CD-ROM)|path=PC Guia 125.iso/Software/Utils/Registry Repair/regrepairsetup.exe/{app}/startup.exe|size=1494016|ts=2005-07-14|b3sum=60b12a4de1089a31dcdebea9ac4856c680ffa1b9471b7b698d56bd28f82aed48
HIT|label=startup-exe|kind=supporting|itemid=28647|itemName=VIPER Paradice (CD-ROM)|path=VIPER.ISO/mac/STARTUP.EXE|size=115200|ts=2001-08-02|b3sum=cf118769f4f9ba99c055aa3ef268e85724a8c17550763a10c75a9a5ba84b2846
HIT|label=startup-exe|kind=supporting|itemid=35495|itemName=Clickx 32 (CD-ROM)|path=Clickx_Magazine_32_Coverdisc_cd8.iso/pc/data/Norton Systemworks/SUPPORT/EDISK/DISK1.IMG/startup.exe/startup.exe|size=207410|ts=2002-08-29|b3sum=ffbb2443b61db36776f95b3e34d7ed4e365090c921f8822f3d5f75ba02dcb928
HIT|label=startup-exe|kind=supporting|itemid=37474|itemName=PC Professionell 2001 May (CD-ROM)|path=PCpro_2001_05.ISO/secure/firewall/internetsec/NIS2001.exe/NIS2001.exe/Support/Edisk/Disk1.img/startup.exe|size=116185|ts=2000-08-11|b3sum=1f3a5211e03cf32d02351c393b749ac131fc2afd46ea6ff77d3affc3d62625e6
HIT|label=startup-exe|kind=supporting|itemid=40740|itemName=PetroSoft: Russian Programs for Eevery Day, Office Programs (CD-ROM)|path=PetroSoft. Русские программы на каждый день. Программы для офиса (Win 2000).iso/lv6_5/startup.exe|size=118784|ts=2000-05-03|b3sum=aaf886b3af21cdc97bda1729a74178ad335484d48a311b943faef5cc491520de
HIT|label=startup-exe|kind=supporting|itemid=42003|itemName=хакер (hacker) 2003 December (CD-ROM)|path=xakep-2003-12-CD1.iso/files/win/system/Norton AtiVirus 2004 Pro/NP10ESD.exe/Support/Edisk/Disk1.img/startup.exe/startup.exe|size=206736|ts=2002-08-19|b3sum=f07ff41698f3ed27357352d2829668df760c83759946d813dd7e55444100d2ec
HIT|label=startup-exe|kind=supporting|itemid=38164|itemName=Desktop King (CD-ROM)|path=980316_1924.iso/theme/www.themeking.com/ftp/saver/sandy.zip/SANDYDEM.ZIP/SANDYLAM/STARTUP.EXE|size=16896|ts=2000-01-01|b3sum=76134cb9e026655905e4813aa2bb5271d6368c275155c98f262ffc1db47e558e
HIT|label=startup-exe|kind=supporting|itemid=45150|itemName=Softwarove Noviny 2002 October (CD-ROM)|path=Softwarove-noviny_2002-10_cd.bin/programy/shw_tema/basic/bcx_install.exe/{app}/Bin/Startup.Exe|size=5664|ts=2002-07-05|b3sum=07faec4eb65eb4e3d242fb6b8568679971b2d32c9a210225ebb832bbb532ed7d
HIT|label=startup-exe|kind=supporting|itemid=17539|itemName=Vintage Panoramic Maps - New York 1854 to 1921 (CD-ROM)|path=Vintage Panoramic Maps: New York 1854 - 1921.iso/Startup.exe|size=827929|ts=2003-03-25|b3sum=28396181ca2a6340a5ec5c91dc9f75169dd1b6747f702c28b279f6721117dfc1
HIT|label=startup-exe|kind=supporting|itemid=19277|itemName=ftp.winsite.com/win95/miscutil (FTP)|path=ftp.winsite.com-win95-miscutil.tar/ftp.winsite.com/pub/pc/win95/miscutil/StartUp.exe|size=99840|ts=2004-12-03|b3sum=a1ca2d032c1331286137507d7500c7b8cb9161dcbccf726cdf69efe3c3d940be
HIT|label=startup-exe|kind=supporting|itemid=33724|itemName=PC Open 107 (CD-ROM)|path=PC Open 107 CD 3.bin/Startup.exe|size=877198|ts=2005-05-04|b3sum=be2aef0504a8041335c8c4dd549303946ee533d805e5a7dc74ebc1fa70f1da1f
HIT|label=startup-exe|kind=supporting|itemid=43040|itemName=Jak na Pocitac 2007 #12 (CD-ROM)|path=JNP_2007-12_cd.bin/Tema/Registry Shower 2007/RegShMag2007.exe/{app}/StartUp.exe|size=1421312|ts=2006-12-26|b3sum=ed394f15ce8990b874406f09bc2c7a7fcb62a74d038dd859a94070f6689b85ab
HIT|label=startup-exe|kind=supporting|itemid=22182|itemName=PC Plus SuperCD 45 (CD-ROM)|path=SuperCD45.iso/startup.exe|size=409600|ts=2000-03-01|b3sum=90e059b8b457811b2cbc526f0f5bf057d7fbcbb98c317a2417485fe01509c369
HIT|label=startup-exe|kind=supporting|itemid=30771|itemName=Australian Personal Computer 2002 October (CD-ROM)|path=APC0210D1.iso/features/norton/files/SUPPORT/EDISK/DISK1.IMG/STARTUP.EXE/STARTUP.EXE|size=206720|ts=2001-07-28|b3sum=0fab86c56c866d09343a0961cfcbe28170007ca172734fd0fe6da020e7ca98fc
HIT|label=startup-exe|kind=supporting|itemid=35591|itemName=CD/PC Actual Thematic 23: Security (CD-ROM)|path=2001-04 CD ACTUAL TEMATICO #23 (PC Actual Abril 2001).iso/Firewall/troy/ST201.exe/DATA1.CAB/SecureTroy_Startup_Manager/Startup.exe|size=110592|ts=2001-02-07|b3sum=ffea8a40b418a3dd1a15b1c1d5f717d346cc49d55f407d03ef57bb3aa7f5ba71
HIT|label=startup-exe|kind=supporting|itemid=41761|itemName=Twilight 93 (CD-ROM)|path=TWILIGHT_093_DVD1.iso/games/002/CD1/egc-2170.rar/egc-2170.bin/data1.cab/App_Executables/StartUp.exe|size=462848|ts=2004-11-30|b3sum=a2f4738c02a31a1460036fbf2ca4fd8bfdf46c1cac75441d54b033ce37e2d65d
HIT|label=startup-exe|kind=supporting|itemid=45385|itemName=CD Action 204 (CD-ROM)|path=Dysk1.iso/pelne/DSA/DSA/StartUp.exe/StartUp.exe|size=539521|ts=2000-01-01|b3sum=5063779aa35417ea304f73009dc2cbf5e3a497b17faa5ac11ac90714d9468ae3
HIT|label=startup-exe|kind=supporting|itemid=22136|itemName=Super Dooper (2nd Edition) (CD-ROM)|path=SUPER_DOOPER_2 (D).iso/SUPER_DOOPER_INSTALLER_2005 VOL 2/Utilities/Startup Controller/Startup.exe|size=77824|ts=2004-01-24|b3sum=cbfbee588bdd4677c7470810313b4b29fb8f9a5079724a48df23c4a449b53da7
HIT|label=startup-exe|kind=supporting|itemid=30718|itemName=University of Pittsburgh Software Toolkit - Fall 2002 (CD-ROM)|path=Toolkit.iso/pc/Utils/Norton AntiVirus 2002/SUPPORT/EDISK/DISK1.IMG/startup.exe|size=116169|ts=2001-11-27|b3sum=43bb3e17cbded910b987f74ecd616d5c29a8b59fccd233a83adb10391a56f9b9
HIT|label=startup-exe|kind=supporting|itemid=42169|itemName=PC Format 193 (CD-ROM)|path=PCF193DVD1_09_06/PCF193DVD1_09_06.ISO/DiscContents/Workshops/Workshops_General/Quick Startup/Installer/startup.exe|size=1065006|ts=2006-08-02|b3sum=4460e818fa69f634d4266db374f3dddf6adfd30a0bfe0ada99de0d88832626e4
