StoneAge Taiwan v1.0 battle-scene reconstruction dataset — R1
SCOPE|verified-retail-disc|derived-metadata-only|no-payload-bytes
SOURCE|path=research/recovered/STONEAGE-TW10-CLIENT-INVENTORY-R1.txt|git_blob_sha=53472cc122ba4e67436a52b820e9e1bf0f16b24e
DERIVATION|preserve-address-table-order|records-copied-from-ADDRESS_RECORD-label-battle|stable-key=index+offset+name+sha256
ADDRESS_TABLE_CONTAINER|label=battle|table_path=stoneage/data/battletxt_1.txt|container_path=stoneage/data/battle_1.bin|records=233|record_bytes=185892|span_end=185892|container_size=185892|starts_zero=1|contiguous=1|span_matches_container=1
ADDRESS_RECORD|label=battle|index=67|offset=53868|size=804|name=battle67.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle67.sab|file_sizes=804|sha256=703b0379db4a045c77ad80f1dea0fa012b838e12e129f1b8f6fa0bc477bdfbf0
ADDRESS_RECORD|label=battle|index=68|offset=54672|size=804|name=battle68.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle68.sab|file_sizes=804|sha256=72ec19c63a52d3a4ac2d797c1ecee80d5bdbf644876b8ecb3028ae7c983c24b1
ADDRESS_RECORD|label=battle|index=69|offset=55476|size=804|name=battle69.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle69.sab|file_sizes=804|sha256=f97aea4d25373dbc6f69521e8dc05a18671f59864fdd27450d9cb5a47f14458d
ADDRESS_RECORD|label=battle|index=70|offset=56280|size=804|name=battle70.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle70.sab|file_sizes=804|sha256=11bce5d347d430f8a86fbadf533e0b601afd246b2443208a75bb292292f5d347
ADDRESS_RECORD|label=battle|index=71|offset=57084|size=804|name=battle71.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle71.sab|file_sizes=804|sha256=46a0cb731f854f125b4f1665b14bb21f17b5b8b73664b234c3b282b97d5c0626
ADDRESS_RECORD|label=battle|index=72|offset=57888|size=804|name=battle72.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle72.sab|file_sizes=804|sha256=c5c56534c1e8fb83605a176534c3f9947db11c800ef1c4095b129e706a20280a
ADDRESS_RECORD|label=battle|index=73|offset=58692|size=804|name=battle73.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle73.sab|file_sizes=804|sha256=0e696492bd5afb29950a72c4970faf927898186cb6a06813f1d9ed5f40f84cab
ADDRESS_RECORD|label=battle|index=74|offset=59496|size=804|name=battle74.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle74.sab|file_sizes=804|sha256=f2448addf3b5e51efb5c919948935d8873081400db7049b71976ceda4978bbd8
ADDRESS_RECORD|label=battle|index=75|offset=60300|size=804|name=battle75.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle75.sab|file_sizes=804|sha256=42794bf6907e2f9933e07121fadc5c7aa04dc8e3e1109088db73805274a2d5b0
ADDRESS_RECORD|label=battle|index=76|offset=61104|size=804|name=battle76.sab|match_count=1|category=battle_map|paths=StoneAge/data/battlemap/battle76.sab|file_sizes=804|sha256=bc09dda2ed15f7f5b5903f98736d378a253ea25f08793c2d9793eda48085195b
