StoneAge Beijing-Waei 2.5 official download-page probe — R1
SCOPE|grounded-official-stoneage-prefix|2002-01-01..2002-03-15|Wayback-CDX+bounded-HTML-replay|no-binary-payload
TARGET|prefix=http://www.waei.com.cn/zhuanqu/stoneage/|from=20020101|to=20020315|max_replays=300
CDX|status=200|bytes=278146|sha256=22f92af90ed3d9b448a43f46fce16acd3b47a7c97a0a69d4f9c7ac22bdcf0edd|rows=1846|html_rows=509|final=https://web.archive.org/cdx/search/cdx?url=http%3A%2F%2Fwww.waei.com.cn%2Fzhuanqu%2Fstoneage%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&from=20020101&to=20020315&filter=statuscode%3A200&collapse=urlkey&limit=5000
URL_HINT|score=1|timestamp=20020203161147|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/013_72.GIF|mimetype=image/gif|digest=6ZYNNOJHCPMDBJY6LT7BEHTRMX5DBXYA|length=145608
URL_HINT|score=1|timestamp=20020203164451|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/032_18.GIF|mimetype=image/gif|digest=T6YZ63ANHSBDEO45EFUW4ZVC2D46SZGC|length=135839
URL_HINT|score=1|timestamp=20020203193713|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/038/038_15.GIF|mimetype=image/gif|digest=ABGOGGBH543LXBLMBL2XUWMXRVKRIZED|length=137421
URL_HINT|score=1|timestamp=20020203194057|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/038/038_15s.GIF|mimetype=image/gif|digest=FGOZPZOQZXDUIX7QFKCYAA42XBVKCSTB|length=74332
URL_HINT|score=1|timestamp=20020203195634|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/038/038_7.GIF|mimetype=image/gif|digest=3GGTTGRK6LKMOMQEOY2TCIWDHK6EGP4F|length=132684
URL_HINT|score=1|timestamp=20020203194757|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/038/038_7s.GIF|mimetype=image/gif|digest=TPLAINOPR4OVGCBL3DEGGLH57ZEYUFLU|length=75667
URL_HINT|score=1|timestamp=20020203161249|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/041_18.GIF|mimetype=image/gif|digest=IFCLK2HYZKFAZLCBOV774EY3JEEGUKEC|length=167175
URL_HINT|score=1|timestamp=20020203164920|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/88-jll.GIF|mimetype=image/gif|digest=RBOLPMAEHMQADMT4DC5DUKGGXUTOJGAW|length=119932
URL_HINT|score=1|timestamp=20020203190927|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/aqiang/10.GIF|mimetype=image/gif|digest=5PKRLYJVZIRZ52WUMSZNRZXKSOYELARH|length=168604
URL_HINT|score=1|timestamp=20020203194200|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/aqiang/10s.GIF|mimetype=image/gif|digest=INCRQQI4UYW5SFWXPYZ4Q4CTXC6MXPZJ|length=82901
URL_HINT|score=1|timestamp=20020203192208|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/aqiang/1s.GIF|mimetype=image/gif|digest=74N36HKY7DDM7WIDD6HUMMCT7DSZABTO|length=59894
URL_HINT|score=1|timestamp=20020203193237|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/aqiang/21.GIF|mimetype=image/gif|digest=RG652UDYKCEL2MWH5YJIJ6WGAKBWS2EL|length=97454
URL_HINT|score=1|timestamp=20020203192108|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/aqiang/32.GIF|mimetype=image/gif|digest=M24N4SXLZIM6DBEP5PA574WNO7PAW4EO|length=134636
URL_HINT|score=1|timestamp=20020203192919|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/aqiang/32s.GIF|mimetype=image/gif|digest=Z3B6E4W4B7T7UQFAOD5WP7ZRJMUJNTME|length=70295
