StoneAge 2.5 sa25up historical host-neighborhood probe — R1
SCOPE|dated-source-links+wayback-cdx-host-metadata|no-game-payload-download
HOST|202.104.32.168
SOURCE|timestamp=20030605104851|status=200|bytes=406274|sha256=604304bd2c931c463ccb575f3920dd096a340441825a58274d9f6e897dc966c5|encoding=cp950|same_host_anchors=1|final=https://web.archive.org/web/20030605104851id_/http://pcpc.idv.tw:80/soft/soft.htm
IDENTITY_HTML|query=host-all|timestamp=20030403033634|original=http://202.104.32.168:80/images/title.swf|status=403|mime=text/html|length=1642|digest=5PJ2SJW37C4CBZKDSJ56XBJBSLNJ45TA
IDENTITY_HTML|query=host-all|timestamp=20020901053522|original=http://202.104.32.168:80/list.php?id=1014|status=200|mime=text/html|length=6030|digest=SV33Y4VRBQCYZMNMOW7OFQAOVGP2X7VE
IDENTITY_HTML|query=host-all|timestamp=20021013012928|original=http://202.104.32.168:80/list.php?id=10157|status=200|mime=text/html|length=5437|digest=CNWEV3FCNP2VTGALGXP6HVJ45CZHKGVX
IDENTITY_HTML|query=host-all|timestamp=20020806013615|original=http://202.104.32.168:80/list.php?id=10158|status=200|mime=text/html|length=5274|digest=K2752S54GLDQ7PZABFLG3BBSZ7LF5MG2
IDENTITY_HTML|query=host-all|timestamp=20011229115732|original=http://202.104.32.168:80/list.php?id=1016|status=200|mime=text/html|length=5384|digest=UZFO7BG6YN7ZM6OQOKUZV2BL2AJSJMR5
IDENTITY_HTML|query=host-all|timestamp=20011229120156|original=http://202.104.32.168:80/list.php?id=10199|status=200|mime=text/html|length=5972|digest=PSWAT4GORBW3JCCIOCNJ2NWVNM7UUIZ5
IDENTITY_HTML|query=host-all|timestamp=20020712030956|original=http://202.104.32.168:80/list.php?id=10251|status=200|mime=text/html|length=6040|digest=UEXENLRDNTCTG2BEJZOMVAQ5ESHDW3US
IDENTITY_HTML|query=host-all|timestamp=20020908024112|original=http://202.104.32.168:80/list.php?id=10306|status=200|mime=text/html|length=5815|digest=XIAT3RLDOYHGXG52AGS2CXRTKDI7I4DT
IDENTITY_HTML|query=host-all|timestamp=20020713110847|original=http://202.104.32.168:80/list.php?id=10352|status=200|mime=text/html|length=5365|digest=7LA5LQE7E2XCKQXQOQIHPGBQEDSZCIMF
IDENTITY_HTML|query=host-all|timestamp=20030514140122|original=http://202.104.32.168:80/list.php?id=10356|status=200|mime=text/html|length=6395|digest=ISBTE2YQPEHI7Q3GIKKSBVUDSVNAUFVG
IDENTITY_HTML|query=host-all|timestamp=20030514140646|original=http://202.104.32.168:80/list.php?id=10513|status=200|mime=text/html|length=6472|digest=WIAN4BDQJGOBM2C65CNTER5UWQQLEJUF
IDENTITY_HTML|query=host-all|timestamp=20020706140259|original=http://202.104.32.168:80/list.php?id=10523|status=200|mime=text/html|length=5269|digest=2NNIHD6WYG73BDDOKQB24LBNTGJASKTW
IDENTITY_HTML|query=host-all|timestamp=20011229122105|original=http://202.104.32.168:80/list.php?id=10612|status=200|mime=text/html|length=5465|digest=C47OWULGC7ZD7RUEVTAD3QJN6IWGTEPJ
IDENTITY_HTML|query=host-all|timestamp=20020723044343|original=http://202.104.32.168:80/list.php?id=1062|status=200|mime=text/html|length=5709|digest=OPOLE3HENQLSZROQ3XO6HOPLGCG5PQ7W
IDENTITY_HTML|query=host-all|timestamp=20020723044423|original=http://202.104.32.168:80/list.php?id=1063|status=200|mime=text/html|length=5604|digest=5Q2OQJVSEQUUTL2CHWB2544WGONUEGRF
IDENTITY_HTML|query=host-all|timestamp=20020723044751|original=http://202.104.32.168:80/list.php?id=1064|status=200|mime=text/html|length=5619|digest=ISLYSGLNNVLEDBZKIOXVRXBSYYPFXQCJ
IDENTITY_HTML|query=host-all|timestamp=20020723045138|original=http://202.104.32.168:80/list.php?id=1066|status=200|mime=text/html|length=5388|digest=GI3FC67JBIB7RRIIKNQLX7HZI2KVMB3M
IDENTITY_HTML|query=host-all|timestamp=20020723043204|original=http://202.104.32.168:80/list.php?id=1068|status=200|mime=text/html|length=5526|digest=CREXQBCQSAK6FQZARA6BYHAPHQOWULZA
IDENTITY_HTML|query=host-all|timestamp=20020901053748|original=http://202.104.32.168:80/list.php?id=107|status=200|mime=text/html|length=5654|digest=S4EDSTP6WXRAOXVBX3YWBSKH4L2SYK5R
IDENTITY_HTML|query=host-all|timestamp=20020908024635|original=http://202.104.32.168:80/list.php?id=1070|status=200|mime=text/html|length=6518|digest=C57RUUQT3E5CDUBEWG4FNJSHMXA7XCUC
IDENTITY_HTML|query=host-all|timestamp=20030529130301|original=http://202.104.32.168:80/list.php?id=10712|status=200|mime=text/html|length=6574|digest=GQOMJLROO6BBYTGVFGMNBZIQZVF5PEY3
